t,ax,ay,az,gx,gy,gz,lat,lon,spd,hdg,roll,pitch,yaw,qw,qx,qy,qz,sat,hdop,marker
0.0,-0.09016553240569783,5.612177035663693,9.81967438501484,-0.020750741033162445,0.007506478462649558,0.39414381984686486,39.2956957470801,-83.55739261537697,13.115316199785283,266.31305860515624,0.9245009600974002,0.00690255696639279,0.4744019635457248,0.9999588864808788,0.00806738680862695,9.36334017209144e-05,0.004139305592394186,15,0.8980988695070886,
0.02,-5.363466259857028,5.660959829939795,9.841319333820152,0.0024046397262273687,-0.008434941479544343,0.41418844300385216,39.2956957470801,-83.55739261537697,13.007760569741421,266.31305860515624,1.6683607252844928,0.5868235479557884,0.9447792042852807,0.9998475368338136,0.014515777568301328,0.005240292163532597,0.008169126451716559,15,0.8980988695070886,
0.04,7.121096313604532,5.591469035494073,9.661165801942735,0.005809359197804843,0.007024317686163504,0.4158838193342004,39.2956957470801,-83.55739261537697,13.151416535111464,266.84059470611555,2.515781654346856,-0.34695759248902763,1.4194206100827063,0.9996769109718465,0.021988282603705677,-0.0027548961516387343,0.01244988534565808,15,0.8980988695070886,
0.06,0.8701236976751914,5.7146779872559135,9.73879418481382,-0.007778033312040339,-0.003820769302332928,0.41280447865541475,39.2956957470801,-83.55739261537697,13.167421159176603,267.360087925233,3.108073539843513,-0.3186207108064263,1.8929132685095469,0.9994907013939323,0.027161839354702975,-0.0023311218413260464,0.016587289739299217,15,0.8980988695070886,
0.08,-11.513969404978445,5.514714686320665,9.7110460431136,0.010290555715599854,-0.0006105867579226323,0.4276425834301264,39.2956957470801,-83.55739261537697,12.934066760970746,267.87146117669846,3.7470293201008915,0.638627650331394,2.3805727402059738,0.9992380372111563,0.03256990384981927,0.006247989856462835,0.020579333720083796,15,0.8980988695070886,
0.1,2.72467138175737,5.601959340411783,9.850074990934898,0.01158652962959303,-0.000752460258672159,0.4404556395685273,39.29572034789085,-83.55741215078962,12.988671027984362,268.3746451528963,4.410529486832758,0.24588303065030406,2.867364010436399,0.9989463371430554,0.038413847696840045,0.0031062249146765397,0.024918731516208378,16,0.869452624588295,
0.12,5.915768252967103,5.5768268213389875,9.854802865472871,0.014187938844228571,0.0018502169824133148,0.42674077965940976,39.29572034789085,-83.55741215078962,13.106600454279715,268.8695780729138,4.99345104224726,-0.8780467928716224,3.3548343492027657,0.9985835084932864,0.04376642630456927,-0.006376644906609477,0.029577269879092052,16,0.869452624588295,
0.14,-1.2258455034767202,5.273585403696955,9.829924326755153,-0.013339097539361244,0.0068351922750873595,0.389379099832678,39.29572034789085,-83.55741215078962,13.077678911777886,269.3562054204788,5.423708822577753,-0.6233584137318355,3.815241538729426,0.9983031866255182,0.047467075748177434,-0.003855757061383287,0.03350757273716248,16,0.869452624588295,
0.16,1.8552507007969963,5.159708023921102,9.964795788921887,-0.005131417607936375,-0.008914462038451908,0.40490933752177716,39.29572034789085,-83.55741215078962,13.113923536756293,269.83447967305847,5.99012298151596,-1.0277709619630284,4.272063243153552,0.9978825383390001,0.0525453076773162,-0.007003011734728885,0.03768803717167149,16,0.869452624588295,
0.18,-2.622125656493418,4.862903988581489,10.0113424391229,-0.012559492060532683,-0.005147383180025375,0.39436480867883833,39.29572034789085,-83.55741215078962,13.060386277954427,270.3043600239846,6.443742181887345,-0.706056199273335,4.721404538550292,0.9975388413600035,0.056407255921081,-0.00383154077083108,0.04147048050019246,16,0.869452624588295,
